komentar,sentimen
"tweet tempo viral dulu barulah jurnalis lain kejar isu ketinggalan mediatempopengkhianatbangsa
pengkritiknyelekit dikontrolduit",negative
"tempo suka mengklaim diri jurnalis padahal cuma buzzer berbayar mediatempopengkhianatbangsa
pengkritiknyelekit dikontrolduit",negative
"seringkali tempo terlihat lebih cepat mengedarkan kabar bohong daripada melakukan pengecekan fakta yang menjadi tanggung jawab jurnalis mediatempopengkhianatbangsa
pengkritiknyelekit dikontrolduit",negative
"liput demo may day di semarang jurnalis tempo dipiting dan dibanting polisi 
 mayday hariburuh demoburuh jurnalistempo",neutral
saya bersumpah demi allah semoga seluruh dosa jurnalis tempo akan dipindahkan ke orang yang berani memukul jurnalis tempo,negative
jurnalis tempo mengalami pemukulan saat merekam polisi di demo hari buruh,neutral
"wartawan tempo sempat ditangkap pada aksi demo di semarang dilepaskan karena desakan jurnalis lainnya 
 demoburuh semarang mayday",neutral
demo hari buruh di semarang polisi tahan orang pukuli jurnalis tempo dan jurnalis kampus,neutral
"ketika fakta diputar sesuai keinginan sponsor tempo bukan lagi jurnalis mereka cuma operator narasi mediatempopengkhianatbangsa
pengkritiknyelekit dikontrolduit",negative
selamat sore kak maaf oot bisa bantu report atau gmn saya didoxing oleh derry org yg pernah doxing jurnalis tempo data identitas saya disebarkan oleh dia dan kawan nya mohon bantuannya,neutral
"jurnalis tempo seolah lebih bersemangat menuliskan kabar bohong daripada menelaah data mediatempopengkhianatbangsa
pengkritiknyelekit dikontrolduit",negative
"sebenernya gak perlu jadi jurnalis untuk tahu tempo cuma ngandelin clickbait dan drama mediatempopengkhianatbangsa
pengkritiknyelekit dikontrolduit",negative
"minta maaf ke jurnalis tempo minta maaf ke rakyat
anda ini melayani siapa hey hasan nasbitch",negative
"breaking hasan nasbi mundur dari kepala pco juru bicara presiden prabowo ia pamit april minta maaf ke presiden tapi publik belum lupa komentarnya soal kepala babi ke jurnalis tempo masak saja 
 rajamedia",neutral
"belum genap setahun menjabat hasan nasbi resmi mengundurkan diri dari posisi kepala kantor komunikasi kepresidenan pco 

sosok hasan sempat jadi sorotan usai komentarnya soal kasus teror kepala babi terhadap jurnalis tempo dinilai blunder 

kini menteri sekretaris negara",neutral
nih tempo sebenernya tau gaksih kalo ada elemen pemerintahan skrg yg juga diutus ke vatikan mau mikir yg baik baik kalo ini ketikan jurnalis tapi ketikannya kyk gini,negative
"media tempo tuh kayak jurnalis abal abal yang penting klik fakta belakangan mediatempopengkhianatbangsa
pengkritiknyelekit dikontrolduit",negative
"tempo tuh media yang lebih suka jadi tukang gosip daripada jurnalis sejati mediatempopengkhianatbangsa
pengkritiknyelekit dikontrolduit",negative
"tempo dari jurnalis ke juru bicara yang gak resmi mediatempopengkhianatbangsa
pengkritiknyelekit dikontrolduit",negative
"intel melayu di revisi uu tni

sejumlah personel intelijen militer ditengarai berupaya masuk ke kantor kontras pura pura jadi jurnalis

simak selengkapnya program bocor alus politik di channel youtube tempodotco dan spotify

 bocoraluspolitik podcastbap podcasttempo",neutral
"jurnalis kok jadi pengkhianat sih tempo seharusnya ngasih informasi bukan nyerang tanpa alasan yang jelas mediatempopengkhianatbangsa
pengkritiknyelekit dikontrolduit",negative
cuma mau berdoa aja panjang umur untuk jurnalis tempo dan staf lainnya,negative
