platform,keyword,komentar,timestamp,sentimen
twitter,tempo babi,assinei a ps plus to feliz mas triste ao mesmo tempo pq,2025-05-03T02:18:21.000Z,
twitter,tempo babi,"Ainda bem, pq esse negócio de pegar a cena e comparar é muito chato.
Outra autora, outros atores, outra direção, outro tempo. Muitas vezes melhor. Quem é  órfão da 1a, devia voltar a assistir e ficar lá. Também tô gostando da nova versão.",2025-05-03T02:17:52.000Z,
twitter,tempo babi,incrível como as coisas acontecem cmg e com ane ao mesmo tempo,2025-05-03T01:37:37.000Z,
twitter,tempo babi,teve politico literalmente defendendo isso ha pouco tempo atras.,2025-05-03T01:11:21.000Z,
twitter,tempo babi,"Mas Babi a direita no Brasil ainda defende esse tipo de pena. Defendendo até o absurdo de uma nova constituição. Além disso ela pode atualizar com incrementos como pena perpetua, ou tempo de pena mais longo etc",2025-05-03T01:06:52.000Z,
twitter,tempo babi,"Todos perdemos, porque não teve. Até tava conversando aqui que ela podia ter pego do celular do Afonso, mas podia ter rolado o César perguntando e ela explicando. Não ia levar muito tempo numa cena simples assim.",2025-05-03T00:29:41.000Z,
twitter,tempo babi,"ai, se eu não tivesse lido hidden e amor fati a tão pouco tempo, leria de novo",2025-05-03T00:05:18.000Z,
twitter,tempo babi,"Dendam kesumat Lampiasan  dari  ketua Parcok  mulyono. 
Efek domino.. Kepala Babi  dan   Bangke Tikus tidak  mempan. 
Takutnya  Parcok emosi berat,  jurnalis...Tempo.. akan  senasib  dengan  anak STM  di tembak mati oleh anggota  Parcok di Semarang.",2025-05-02T23:09:07.000Z,
twitter,tempo babi,omodeus :(( mas se é recente é normal reler msm anjo com o tempo a gente consegue lidar melhor  forças pra gente hihi,2025-05-02T22:33:45.000Z,
twitter,tempo babi,"Eu tenho ctz que sou doida pq sempre estou no pra vc 
E as vezes vou no seguindo kkkkkkk",2025-05-02T22:20:29.000Z,
twitter,tempo babi,Tão azarada que smp q venho pra praia o tempo ta fechado,2025-05-02T22:15:15.000Z,
twitter,tempo babi,deus é bom o tempo todo,2025-05-02T17:41:01.000Z,
twitter,tempo babi,"Porra que desgraça, essas bostas sumiram por um bom tempo pra fazer isso??? Pqp vey",2025-05-02T17:22:52.000Z,
twitter,tempo babi,Ele disse isso faz um tempo já. Essa página q tá passando notícia velha,2025-05-02T17:11:31.000Z,
twitter,tempo babi,Faz um tempo que ele falou sobre isso. Essa página que tá passando notícia antiga,2025-05-02T17:10:27.000Z,
twitter,tempo babi,Ele disse isso faz um tempo na real. Essa notícia é meio velha,2025-05-02T17:09:35.000Z,
twitter,tempo babi,Ele disse isso faz um tempo na real,2025-05-02T17:09:12.000Z,
twitter,tempo babi,Quanto tempo tem o tempo?,2025-05-02T15:20:11.000Z,
twitter,tempo babi,sinto que esse ultimo ano que passei em depressao profunda me fez perder tanta coisa além do tempo,2025-05-02T10:48:53.000Z,
twitter,tempo babi,"queria entregar pelo menos 3/6 das tarefas, mas agarrou mais tempo do que imaginei, e só finalizei 1… tô tisti",2025-05-02T05:01:25.000Z,
twitter,tempo babi,ansiosa o jogo de domingo apenas pq faz tempo q eu n vou no Accioly,2025-05-02T04:30:00.000Z,
twitter,tempo babi,"Com certeza foi um trabalho que será lembrado por muito tempo! Boa sorte na sua nova jornada Babi, muito sucesso!!",2025-05-02T04:26:58.000Z,
twitter,tempo babi,A tempo não sei o que é me juntar com as meninas e chegar em casa de manhã ,2025-05-02T03:32:00.000Z,
twitter,tempo babi,"pois é nós meio que já esperamos por isso né, mas tudo no tempo dele ",2025-05-02T02:42:41.000Z,
twitter,tempo babi,"primas precisamos admitir que foi muito bonito quando roberto carlos cantou “diferente da paixão o amor é um sentimento, está acima da razão e do passar do tempo, o nosso amor resiste a tudo, à tempestade, ao vento, é forte em nosso pensamento, imenso em nosso coração”",2025-05-02T02:01:29.000Z,
twitter,tempo babi,Babi! Valeu demais por todo esse tempo de trabalho junto! Sucesso!,2025-05-01T22:33:39.000Z,
twitter,tempo babi,"uma grande voz amo ouvir ""resposta ao tempo"" descanse em paz",2025-05-01T22:26:27.000Z,
twitter,tempo babi,"péssimo pra mim também

tá me matando 100% o tempo de digerir...",2025-05-01T22:11:01.000Z,
twitter,tempo babi,"Muito obrigado por esse pouco tempo babi, Você é incrível e boa sorte",2025-05-01T22:10:01.000Z,
twitter,tempo babi,"Um time que não respeita o seu próprio time, bizarro. Perdi o encanto faz tempo.",2025-05-01T21:52:06.000Z,
twitter,tempo babi,vem amiga da tempo ,2025-05-01T21:42:04.000Z,
twitter,tempo babi,Sou Sesc faz tempo q não sou feliz!,2025-05-01T21:17:33.000Z,
twitter,tempo babi,os fan projects tbm o pessoal vai ter que correr mto pra ficar pronto a tempo,2025-05-01T20:39:58.000Z,
twitter,tempo babi,"Dante Gaspar 
Oii hulu quanto tempo",2025-05-01T20:04:37.000Z,
twitter,tempo babi,nem viajando no tempo,2025-05-01T19:17:31.000Z,
twitter,tempo babi,cheguei 14h era pra eu ter deitado pra dormir e estudar e tô aqui perdendo tempo eu não aprendo mesmo,2025-05-01T18:34:22.000Z,
twitter,tempo babi,"Povo esquece que é umas 50 mil pessoas clicando pra entrar ao mesmo tempo kkkkk 1 pessoa do meu grupo de amigos conseguiu entrar e o resto nao. N tem oq fazer gente, quem deu sorte entrou, é a peneira. Levem na brincadeira, a parada é d graça bicho",2025-05-01T17:54:28.000Z,
twitter,tempo babi,ela com a peruca mais maravilhosa deus é bom o tempo todo,2025-05-01T17:19:10.000Z,
twitter,tempo babi,"Sem tempo pra nada, só pra dizer o quanto ela tava DESLUMBRANTE ontem ",2025-05-01T14:25:08.000Z,
twitter,tempo babi,"Essa novela tá tão sem lógica, até entendo que antigamente existir uma rixa por ele não querer morar fora, mas atualmente é tipo tão sem lógica, eles sendo ricos podem morar onde quiserem, jatinho pra viajar e passar um tempo fora…",2025-05-01T12:48:15.000Z,
twitter,tempo babi,Bakar aja tuh si babi israel,2025-05-01T09:02:08.000Z,
twitter,tempo babi,"Dear 
@prabowo
 @setkabgoid
Aku duga bapak presiden keliru segera angkat Prasetyo Hadi 
@KemensetnegRI
 sbg JUBIR terkesan mengambil alih fungsi & tg jawab Hasan Nasbi 

Hanya karena Kepala Babi yg diduga #biasa dilakukan o media asing Tempo sbg play victim",2025-05-01T08:44:34.000Z,
twitter,tempo babi,"Parkir karena suruh wartawan Tempo masak paket kepala babi, …….",2025-05-01T04:51:15.000Z,
twitter,tempo babi,"Ah sim, pq a menina pode entender o pq ela não pode comer determinadas coisas mas a mãe de outra criança não pode explicar o pq da amiguinha levar uma comida diferente
Ela tem alergia a glúten, ela deve passar vontade o tempo td e entende pq outra criança n entenderia?",2025-05-01T04:13:38.000Z,
twitter,tempo babi,passar condicionador na raiz é continuação da lavagem!!!! é por isso que tem que ser bem enxaguado o cabelo fica limpo por mais tempo,2025-05-01T03:55:29.000Z,
twitter,tempo babi,"e ela realmente estava certa, tudo se conserta com o tempo e o que você deseja, bom… um dia vai ser seu",2025-05-01T03:19:15.000Z,
twitter,tempo babi,era assim mesmo!!! slk adrenalina demais tentar terminar no tempo ou antes dos outros,2025-05-01T03:09:23.000Z,
twitter,tempo babi,o gahel smp acende o foguinho nos 2 min do segundo tempo,2025-05-01T02:51:49.000Z,
twitter,tempo babi,"to cantando essa bola faz tempo su, observa só",2025-05-01T02:47:57.000Z,
twitter,tempo babi,Quero assistir antes se conseguir kkkk falta-me tempo demais menina ,2025-05-01T02:32:08.000Z,
twitter,tempo babi,o pacto ainda dá tempo de fazer,2025-05-01T01:36:58.000Z,
twitter,tempo babi,"Setelah menuai polemik karena pernyataannya yang dianggap nirempati saat menanggapi teror Kepala Babi ke kantor redaksi Tempo, Kepala Kantor Komunikasi Kepresidenan (PCO) Hasan Nasbi resmi mengundurkan diri dari jabatannya. #BahasPeristiwa #AdadiKompas",2025-04-30T12:15:00.000Z,
twitter,tempo babi,"Per me la priorità è Gaza e il supporto ai palestinesi. Gli endorsement a questo o quel politico non mi interessano; retwitto pure il PD e m5s se fanno o dicono qualcosa su Gaza (due partiti che non ho mai votato, sul 5s tempo fa ho avuto curiosità per comprenderne le dinamiche",2025-04-30T12:05:18.000Z,
twitter,tempo babi,"damn.. obrigado amor, o tempo cura apesar de tudo",2025-04-30T12:02:18.000Z,
twitter,tempo babi,há muito tempo eu não assistia uma vitória com gosto tão amargo de derrota,2025-04-30T11:00:46.000Z,
twitter,tempo babi,pengiriman kepala babi ke kantor Tempo waktu itu jadi alarm munculnya stochastic terrorism—kekerasan individu karena kebencian didorong narasi penguasa,2025-04-30T10:54:00.000Z,
twitter,tempo babi,"Terbiasa debat dg merendahkan orang lain kini direndahkan oleh kasus kepala babi. Memang rencana Allah gak ada yg tahu, sasaran tembak Tempo eh yg kena dia.",2025-04-30T06:57:15.000Z,
twitter,tempo babi,Lagi jatuh tempo kak agak nya emang si babi satu itu...,2025-04-30T06:49:30.000Z,
twitter,tempo babi,"Hasan Nasbi mundur sebagai Kepala PCO karena masalah kinerja, terutama setelah insiden kepala babi dikirim ke Tempo. Tanggapannya yang kontroversial, menyarankan untuk ""memasak saja,"" menuai kritik publik dan Presiden Prabowo, yang menyebutnya ceroboh. Pandji Pragiwaksono,",2025-04-30T06:47:17.000Z,
twitter,tempo babi,"Hasan Nasbi mundur sebagai Kepala Kantor Komunikasi Presiden pada 29 April 2025 karena kontroversi atas pernyataannya tentang ancaman terhadap media Tempo. Ia mengomentari ancaman berupa kepala babi dengan berkata ""masak saja,"" yang dianggap tidak sensitif. Presiden Prabowo",2025-04-30T06:33:42.000Z,
twitter,tempo babi,"misericórdia, eu achando que minha situação tava feia na bahia kkkkkkkk o pior é que eu tô cogitando ir de ônibus, ia levar o mesmo tempo que ele leva de avião da coreia pro brasil kkkkkkk",2025-04-30T06:21:24.000Z,
twitter,tempo babi,"Jadi kendaraan pribadi parkir disitu, banyak spot parkir oke, trus longmarch lawan arah ke flyover menuju DPR deh, jalur evakuasi ke palmerah oke juga tuh arah kantor tempo klo misal ada tindak represif dari para babi",2025-04-30T04:22:07.000Z,
twitter,tempo babi,"ultimamente, ainda me culpo por não ter falado pra ela e de vez em quando isso me vem na mente de um jeito horrível e perturbador. eu não sei por quanto tempo isso vai ficar na minha mente, mas creio que não vou esquecer tão fácil..",2025-04-30T03:36:11.000Z,
twitter,tempo babi,"Apaga que dá tempo, antes que viraliza e seus tios são demitidos",2025-04-30T03:34:14.000Z,
twitter,tempo babi,"a mto tempo eu li um tweet dizendo que quem se considera afro-indígena geralmente não é nem afro nem indígena, e me dói concordar tanto kkkkkkkkkkkkkkkkkkkk",2025-04-30T01:32:15.000Z,
twitter,tempo babi,"Sim tb senti, ficou sorrindo o tempo todo",2025-04-30T01:30:11.000Z,
twitter,tempo babi,"Acho que oq me incomoda nessa Odete é a caracterização, pra mim é meio falsa, caricata… sei la, vamos dar tempo tbm",2025-04-30T01:20:05.000Z,
twitter,tempo babi,"Yo bro, Hasan Nasbi itu tokoh gaul, dulu jubir kampanye Prabowo 2024, kece abis! Pas Prabowo menang, dia jadi kepala komunikasi presiden, posisi top banget. Tapi, cuma 8 bulan, dia mundur gara-gara ngomong ngaco soal kepala babi yang dikirim ke Tempo. Komentarnya, ""masak aja,""",2025-04-30T00:59:01.000Z,
twitter,tempo babi,primeira vez q eu vejo ele c qualidade em sabe-se lá quanto tempo,2025-04-30T00:52:13.000Z,
twitter,tempo babi,paradoxo de viagem no tempo. é como o mikkel em dark,2025-04-30T00:16:10.000Z,
twitter,tempo babi,"falei desse cara hj,entro nesse querido me deparo com a seguinte frase “ que eu amo e odeio ao mesmo tempo”  tmj",2025-04-30T00:12:45.000Z,
twitter,tempo babi,Yang diteror jurnalis Tempo yang jadi korban si koki nasi babi..,2025-04-30T00:09:50.000Z,
twitter,tempo babi,ain mas ao msm tempo se eu comprar n vou ter um tostãozinho pra comprar cardy ,2025-04-30T00:05:07.000Z,
twitter,tempo babi,"Falo falo que vou dar um tempo de comprar brinquedos pro Benjamin e quando vou ver lá estar eu 
Porém ele nunca terá menos do eu sempre tive. ",2025-04-29T23:54:09.000Z,
twitter,tempo babi,"Hasan Hasbi mundur sebagai Kepala PCO karena kontroversi atas komentarnya yang dianggap tidak sensitif terkait kepala babi yang dikirim sebagai ancaman ke majalah Tempo. Ucapannya, ""masak saja kepala babi itu,"" memicu kemarahan publik dan kritik dari Presiden Prabowo Subianto",2025-04-29T23:40:53.000Z,
twitter,tempo babi,"Dois excelentes capítulos de #DonaDeMim! Redondinhos e vc nem sente o tempo passar
Mais uma canetada da Rosane Svartman!",2025-04-29T23:33:02.000Z,
twitter,tempo babi,passei 6 dias sem querer colocar o pé pra fora da minha casa esse tempo de chuva ridículo depois de um inverno de 6 fucking meses ninguém aguenta mais,2025-04-29T23:25:07.000Z,
twitter,tempo babi,quando eu vejo gente acreditando em criacionismo e duvidando de evolução eu só consigo imaginar que deus tava com MUITO tempo livre pra criar TUDO ne? imagina ele desenhando o virus ebola e pensando vou fazer esse aki pra matar geral só de zoas,2025-04-29T23:15:45.000Z,
twitter,tempo babi,pengen masak kepala babi TEMPO hari,2025-04-29T21:20:14.000Z,
twitter,tempo babi,opm babi é tipo a pior e melhor música oat ao mesmo tempo,2025-04-29T21:20:02.000Z,
twitter,tempo babi,"O que ninguém te conta que ficar sem o seu anti depressivo, é a sensação de tonteira e desmaio o TEMPO TODO.",2025-04-29T21:11:00.000Z,
twitter,tempo babi,"Vcs brigam por cada besteira vou te contar viu , minha irmã eu com 3M na conta um carro daquele e um ap, fodase essa história de pós , ninguém nunca mais ia mim ver nem na internet, ia investir é mim aposentar. Vcs ainda tão nesse tempo? Meteoro tá pertinho já.",2025-04-29T20:37:11.000Z,
twitter,tempo babi,to sofrendo sem meu fone nunca passei tanto tempo sem ouvir música,2025-04-29T19:43:46.000Z,
