komentar,label
"kepala babi dan bangkai tikus membuat tempo 
 
 semakin berani",0
"ye elu tuh tikus got rt cari pasti dikolong kan kaya tikus elu p rt 
 
 ngumpet",0
"eh da kamu yg godin mh akumh ngga iyey 
 
 hayu atuh 
 
 yuu mieayam tikus 
 
 godin yuk kaya wakt",2
adiando por mais um dia o choro que ta entalado por falta de tempo suficiente para chorar,2
kapolri perintahkan kabareskrim usut kiriman kepala babi dan bangkai tikus ke kantor tempo,1
"orang tua jurnalis tempo ternyata juga diteror diancam hingga akun whatsapp diretas 

kalau udah begini apa yang disampaikan jurnalis tempo itu fakta iya gak sih 

 beritanasional trendingnews trendingreels fypviral twitter",0
video prabowo sebut teror kepala babi ke jurnalis tempo untuk adu domba,1
halah mau pake media buat jd alat pemerintah ktnya pers itu pilar ke demokrasi anak buah lu tuh kemarin mukulin jurnalis tempo dikirimin kepala babi sm tikus aja malah diejek suruh dimasak dianggap bukan terror dasar diktator,0
hasan nasbi mengundurkan diri dari kepala pco setelah bulan mengemban jabatan hasan sempat disorot saat menanggapi teror kepala babi kepada jurnalis tempo,1
siomay babi viral di tiktok dari nggak laku hingga kini jam langsung ludes,2
apa yang terjadi setelah redaksi tempo dikirimi kepala babi dan bangkai tikus tanpa kepala,0
"por um lado eu surto e fico feliz pelas meninas com tanto trabalho assim mas por outro fico pensando quando q elas descansam muita coisa pouco tempo de f rias pra elas e tals 
eu sei q elas sabem o limites delas mas a gente q ama nossas meninas se preocupa",2
perempuan lagi yang kena sasaran dah padahal yang mirip babi ya mereka itu semoga cica gak kenapa kenapa,0
"kamis mei 
di depan kantor gubernur jateng massa aksi datang sejak pukul pagi 
mereka tidak membawa senjata tidak menebar ancaman 
hanya membawa tuntutan yang sayangnya sudah terlalu biasa di negara ini 
upah layak perlindungan kerja hidup yang manusiawi",1
ahh elahh kenapa tempo terus sih yg diserang,0
"duh bahs kui mlipir rt 
 
 lha po aku jurnalis nte aku kan hanya mhsiswa yg blm lulus tambahoranyambung wkwk",0
eh cica biarin aje suaranya kayak tikus kejepit yg penting ane demen hahahaha cat kemaren duduknya deketan dong,0
"udah diserang minta tebusan jangan jangan serper itu digadai ke rentenir yang kalok jatuh tempo mau dicabut nyawa rasanya 

misalnya",0
"meninggalkanmu tikus hahahaha rt 
 
 vicka cica mu kemana vik jgn tinggalkan aku hahhahahaha",0
istana gak berani undang jurnalis tempo,0
atur kpn chezz gue ngikut aje hehe smpe kpn thu festivalny critany kt jurnalis sejati gt p iya ne br slese hr ini aman haha,2
media dibungkam is real,0
continuo achando uma loucura pessoas gastarem tempo e dinheiro com isso,2
"gelap indonesiaku kkj ungkap ibu jurnalis tempo juga diteror diancam dan akun whatsapp diretas

sumber 
 

dibagikan melalui aplikasi google",1
pers adalah pilar demokrasi ke terus tindakan pengecut kirim kepala babi dan bangkai tikus ke redaksi majala tempo disebut apa,0
as anak jurnalis kalo media pers itu dilarang keras nyebarin berita hoax soalnya udh ada di uu no tahun pasal ayat nah itu media kan udh nyebarin hoax ya harusnya bisa kena pidana si karna ga ngikutin kode etik,0
respon bh itu sbg pejabat negara atau sbg buzzer pihak yg selalu diserang tempo,1
jam ya,2
media tempo pura play victim diancam dgn kiriman daging babi,1
nah itu dia sechaos itu sampe media dibungkam,0
"dan temenku dengan polosnya di tengah hiruk pikuk ini kmrn bertanya loh ada apa memang tempo kenapa dikirim gituan bangkai tikus mba memang tempo beritain apa 

aku jadi bertanya tanya dia selama ini baca apa",0
tempo ini sok tahu dan kesannya berlindung di uu pers sampai ring presiden seakan akan punya knp urusan kepala babi aja teriak kesana kemari,0
maap pemirsa tweet saya di bajak oleh jurnalis sukhoi kaga jadi nih o,0
